question_id,tag_id
1097040,NA
375749,NA
1578151,NA
3227170,"2,102"
2626733,NA
827396,NA
2144456,NA
3122231,NA
3221376,"2,102,104"
3288046,NA
874954,2
359769,NA
520619,NA
383422,NA
996767,NA
2313409,NA
268979,105
2621179,108
874861,2
361395,NA
4146122,NA
4451351,NA
2382616,104
732636,NA
2888950,104
878968,NA
3219707,"2,102,104"
3151097,104
868208,NA
1829156,NA
1920565,105
372344,NA
2033537,NA
2364681,105
3161966,NA
634347,NA
1253045,104
4443138,NA
2722657,"1,101"
1217233,"2,102,105"
1005163,102
1578263,NA
4423997,NA
4302630,NA
2458613,NA
363035,NA
3228482,"2,102"
2719852,"1,101"
4869158,NA
807870,NA
905067,NA
3227652,"2,102,104"
879305,NA
1003099,NA
2062755,NA
3151165,NA
2284907,NA
3523421,104
2289692,NA
3151176,104
3222891,"2,102"
3269156,NA
3122660,NA
3227260,"2,102"
418918,NA
1787816,NA
3228506,"2,102"
4790065,NA
4790072,NA
3122669,NA
3227264,"2,102,104"
2482479,2
1006710,NA
888988,102
1840509,NA
2102661,NA
3937674,NA
3228549,"2,102"
2850044,NA
529806,104
4097113,NA
999893,NA
267662,NA
529811,NA
876180,"2,102,104"
1001173,NA
327228,NA
267715,NA
303676,104
4614934,NA
2891345,NA
2870756,104
3675596,NA
267728,NA
3295436,2
959486,NA
853803,NA
267730,104
290882,104
2970668,104
4344806,NA
2833751,NA
4267603,NA
2482599,NA
3827042,NA
2779711,NA
3058109,NA
3151324,104
4962511,NA
3228600,102
2723819,"1,101"
4702841,NA
1915722,NA
1578489,NA
135653,NA
2646156,NA
874038,102
2683606,105
292650,105
831609,NA
5627,NA
1578493,NA
290349,105
561604,NA
678492,NA
2889217,NA
4700704,NA
4301078,NA
2102792,104
564554,NA
5215115,NA
3675668,NA
832425,NA
585390,NA
2311707,2
4751420,NA
356737,NA
599589,NA
871433,102
1004440,NA
4427273,NA
3708863,NA
3856984,NA
414281,104
953716,NA
1054247,NA
3228638,"2,102,104"
2712331,"1,101"
581277,NA
2576865,NA
229544,NA
2072213,4
3228687,102
2713133,"1,101"
877803,"2,102"
2262618,2
4000080,NA
999859,NA
1578573,NA
391315,NA
239819,NA
267866,NA
4186157,NA
381287,NA
4742622,NA
3228708,"2,102"
2716011,"1,101"
4929802,NA
1711809,NA
3228729,"2,102"
